Date,Weekly_Sales
2012-11-02,36209.23895145835
2012-11-09,19336.91600111112
2012-11-16,19501.779225694445
2012-11-23,19863.47374125001
2012-11-30,21742.654498541677
2012-12-07,31583.626137916654
2012-12-14,46254.5765289583
2012-12-21,52585.25307257578
2012-12-28,21411.59304666666
2013-01-04,16609.516491666658
2013-01-11,17139.791910416654
2013-01-18,17754.15445729166
2013-01-25,18467.971148958317
2013-02-01,23339.79445952381
2013-02-08,40842.01907252709
2013-02-15,47296.60845410715
2013-02-22,19965.909676369047
2013-03-01,20685.874822232152
2013-03-08,21136.421313343253
2013-03-15,21612.865067281735
2013-03-22,22948.84380737103
2013-03-29,29799.575385892855
2013-04-05,39849.05385627979
2013-04-12,28463.225132400796
2013-04-19,28281.902955059533
2013-04-26,24227.51965446429
2013-05-03,18370.394498374797
2013-05-10,18133.632165744046
2013-05-17,16367.654257500008
2013-05-24,16096.558470625001
2013-05-31,16418.835798601198
2013-06-07,16721.67093970239
2013-06-14,16231.149041195895
2013-06-21,16146.49143172619
2013-06-28,15896.69401476191
2013-07-05,17081.046979603187
2013-07-12,16494.76477895834
2013-07-19,15849.077078154758
2013-07-26,15710.139852916662
2012-11-02,46073.19463666671
2012-11-09,44602.396298750056
2012-11-16,43121.14529374999
2012-11-23,44725.725068869055
2012-11-30,44705.37733770834
2012-12-07,47696.56211249999
2012-12-14,50478.07220833331
2012-12-21,59863.808763928595
2012-12-28,45376.77116624999
2013-01-04,43344.10444986109
2013-01-11,42109.71969267853
2013-01-18,42340.08085017858
2013-01-25,42023.9295220833
2013-02-01,50096.50121379962
2013-02-08,48085.28413317463
2013-02-15,47725.302865912716
2013-02-22,46138.66441452383
2013-03-01,50860.72076280574
2013-03-08,47474.78603214286
2013-03-15,45838.03459979166
2013-03-22,44168.14257830356
2013-03-29,46012.05747666668
2013-04-05,48600.25581148809
2013-04-12,44815.84239250002
2013-04-19,45338.16866718256
2013-04-26,45161.67568857143
2013-05-03,48957.22637297155
2013-05-10,45391.725138005924
2013-05-17,44377.909401884914
2013-05-24,45102.1547984226
2013-05-31,46448.044538184535
2013-06-07,47652.81405407738
2013-06-14,44885.235857420616
2013-06-21,44600.71040848214
2013-06-28,46318.34013991074
2013-07-05,46738.73693011906
2013-07-12,44258.032467380996
2013-07-19,44847.69085109129
2013-07-26,44790.96371476192
2012-11-02,9504.556336607133
2012-11-09,9539.036766309526
2012-11-16,9593.443300238088
2012-11-23,9887.971934583346
2012-11-30,10476.05530761905
2012-12-07,11723.796325595249
2012-12-14,12558.571242380958
2012-12-21,13259.018307380953
2012-12-28,8795.933610773805
2013-01-04,14372.417024761911
2013-01-11,13427.870724166673
2013-01-18,12586.968793809523
2013-01-25,11603.783887857146
2013-02-01,12221.489791845244
2013-02-08,11610.844368511905
2013-02-15,11159.061036656743
2013-02-22,10764.638868829372
2013-03-01,11429.380772946428
2013-03-08,10877.329606071422
2013-03-15,8768.01372416666
2013-03-22,9125.419367172615
2013-03-29,9444.678767499989
2013-04-05,9906.232103531742
2013-04-12,8599.566680416665
2013-04-19,8648.565132559523
2013-04-26,8810.133689761906
2013-05-03,9881.234143630954
2013-05-10,9048.34417568452
2013-05-17,8204.351273333334
2013-05-24,8285.64710588293
2013-05-31,8167.637360505949
2013-06-07,7981.202532172621
2013-06-14,7925.189125595244
2013-06-21,6781.197189285708
2013-06-28,7330.453819999999
2013-07-05,7991.8276346428565
2013-07-12,13025.071184615805
2013-07-19,17902.983987728177
2013-07-26,21526.418725714277
2012-11-02,37692.91859220234
2012-11-09,36773.86094249996
2012-11-16,37142.966063928565
2012-11-23,43497.75860083331
2012-11-30,40836.38820041664
2012-12-07,37851.635630833356
2012-12-14,38826.94292083338
2012-12-21,45324.768924047654
2012-12-28,40426.12113857143
2013-01-04,38279.27540749995
2013-01-11,36426.85383166665
2013-01-18,34120.187864940504
2013-01-25,33593.94091874999
2013-02-01,37934.79516056551
2013-02-08,37503.56428449134
2013-02-15,36498.545090929845
2013-02-22,34725.441904047635
2013-03-01,37848.14779525793
2013-03-08,35798.00063982143
2013-03-15,35636.419441855134
2013-03-22,35185.40776456348
2013-03-29,36505.54523404757
2013-04-05,37870.837216329375
2013-04-12,35580.08872354166
2013-04-19,35096.5885754762
2013-04-26,35071.265068988105
2013-05-03,38405.02475502975
2013-05-10,34981.01422482145
2013-05-17,34731.48128446432
2013-05-24,36741.4408794246
2013-05-31,38961.13716898809
2013-06-07,38119.98246386905
2013-06-14,36658.557574851206
2013-06-21,35904.710078452394
2013-06-28,38053.175891309525
2013-07-05,40489.77802839289
2013-07-12,36695.81043303573
2013-07-19,36257.56102727272
2013-07-26,35854.17415485931
2012-11-02,27548.140402619043
2012-11-09,27555.677710119027
2012-11-16,26382.94339178574
2012-11-23,73458.5850066667
2012-11-30,48535.334060833324
2012-12-07,44104.74119023807
2012-12-14,50682.724796488124
2012-12-21,74836.51468833335
2012-12-28,33094.55022678569
2013-01-04,21965.27383880953
2013-01-11,19372.20693041669
2013-01-18,18950.791920654767
2013-01-25,21090.061619821427
2013-02-01,30142.7880825496
2013-02-08,34397.3760177381
2013-02-15,33695.568306845256
2013-02-22,27370.66103600199
2013-03-01,27247.32554549602
2013-03-08,24292.833356041665
2013-03-15,24533.641278740077
2013-03-22,27682.648055982143
2013-03-29,24243.991059999997
2013-04-05,23067.634720476195
2013-04-12,17673.579040529406
2013-04-19,20861.52530244408
2013-04-26,19123.926768204357
2013-05-03,18119.609441130946
2013-05-10,16924.708102976183
2013-05-17,16577.97809744047
2013-05-24,17033.12871074405
2013-05-31,18197.92168741071
2013-06-07,21163.157281160722
2013-06-14,20033.013891279756
2013-06-21,21648.63539718254
2013-06-28,20592.587430714266
2013-07-05,19201.337445952377
2013-07-12,18293.922398422623
2013-07-19,18105.678455309073
2013-07-26,16260.975817739618
2012-11-02,5244.7852677976225
2012-11-09,4247.562403750001
2012-11-16,3583.3381775000016
2012-11-23,19761.52977666667
2012-11-30,12104.524943749993
2012-12-07,6900.328320535715
2012-12-14,11643.009706488094
2012-12-21,23757.472063333335
2012-12-28,6832.523835763886
2013-01-04,2503.18831875
2013-01-11,2415.0792845833334
2013-01-18,2321.0076391666653
2013-01-25,2430.062996964284
2013-02-01,4292.911203363099
2013-02-08,6643.685596339287
2013-02-15,4765.304410892856
2013-02-22,4455.9060964880955
2013-03-01,4856.638949444444
2013-03-08,4757.2732132142855
2013-03-15,4266.166440565474
2013-03-22,4945.166554166667
2013-03-29,4593.11715416667
2013-04-05,4126.629678065474
2013-04-12,4408.4910547619065
2013-04-19,3386.9557746130977
2013-04-26,3993.977879543654
2013-05-03,6064.889065188495
2013-05-10,5262.098431101193
2013-05-17,4695.222247321431
2013-05-24,5478.073385386906
2013-05-31,4930.3735909821435
2013-06-07,4036.7592279166665
2013-06-14,3702.634665625
2013-06-21,3904.089686765873
2013-06-28,4371.798847450395
2013-07-05,3808.2441806250004
2013-07-12,3615.717086220239
2013-07-19,4162.6539388095225
2013-07-26,3251.7172265773806
2012-11-02,21683.208353869057
2012-11-09,23155.979002380962
2012-11-16,23181.41288767856
2012-11-23,71649.78457333328
2012-11-30,54816.87556922619
2012-12-07,56244.87869839288
2012-12-14,85092.63850499995
2012-12-21,145918.73593625016
2012-12-28,38804.92251830356
2013-01-04,14145.664632797618
